User_ID,Group,Device,Region,Age,Visits,Converted,Revenue
U10001,Control,Mobile,North,60.0,4,0,0.0
U10002,Treatment,Mobile,West,48.0,4,0,0.0
U10003,Control,Mobile,North,44.0,7,0,0.0
U10004,Control,Mobile,West,28.0,5,0,0.0
U10005,Control,Mobile,South,55.0,10,0,0.0
U10006,Treatment,Mobile,East,22.0,4,0,0.0
U10007,Control,Mobile,South,25.0,3,0,0.0
U10008,Control,Mobile,West,51.0,4,0,0.0
U10009,Control,Mobile,East,29.0,3,0,0.0
U10010,Treatment,Desktop,West,55.0,6,0,0.0
U10011,Control,Mobile,East,18.0,5,0,0.0
U10012,Control,Desktop,East,48.0,4,0,0.0
U10013,Control,Desktop,East,21.0,6,0,0.0
U10014,Control,Mobile,East,22.0,4,0,0.0
U10015,Treatment,Mobile,West,47.0,2,0,0.0
U10016,Control,Nan,East,41.0,4,0,0.0
U10017,Treatment,Mobile,East,20.0,8,0,0.0
U10018,Treatment,Mobile,South,28.0,4,0,0.0
U10019,Treatment,Desktop,North,21.0,3,0,0.0
U10020,Control,Desktop,North,43.0,6,0,0.0
U10021,Treatment,Mobile,South,44.0,3,0,0.0
U10022,Control,Mobile,South,60.0,5,0,0.0
U10023,Treatment,Mobile,West,44.0,2,1,1715.6
U10024,Treatment,Mobile,West,59.0,4,0,0.0
U10025,Treatment,Desktop,West,23.0,9,0,0.0
U10026,Treatment,Mobile,South,32.0,4,0,0.0
U10027,Treatment,Nan,South,47.0,6,0,0.0
U10028,Treatment,Desktop,East,59.0,7,0,0.0
U10029,Treatment,Mobile,West,54.0,6,0,0.0
U10030,Treatment,Mobile,West,54.0,5,0,0.0
U10031,Control,Desktop,West,59.0,4,0,0.0
U10032,Control,Desktop,North,54.0,5,0,0.0
U10033,Treatment,Mobile,East,52.0,1,0,0.0
U10034,Treatment,Mobile,West,40.0,9,0,0.0
U10035,Treatment,Mobile,West,39.0,3,0,0.0
U10036,Control,Mobile,West,21.0,5,1,1652.31
U10037,Treatment,Mobile,North,39.0,1,1,1120.88
U10038,Control,Mobile,North,26.0,2,0,0.0
U10039,Treatment,Nan,South,46.0,8,0,0.0
U10040,Control,Mobile,East,30.0,5,1,2697.25
U10041,Control,Mobile,South,34.0,6,0,0.0
U10042,Control,Mobile,East,49.0,2,0,0.0
U10043,Treatment,Mobile,North,39.0,6,0,0.0
